"Year","Game_Type","Week","Date_Time","Favorite","Fav_id","Fav_abv","Underdog","Dog_id","Dog_abv","Line","Total","Fav_Home","Dog_Home","DATE","TIME","DATETIME","Game_id"
2007,"reg","3","9/24 8:30 ET","New Orleans",22,"NO","Tennessee",31,"TEN",-4.5,46.5,"Y","N",2007-09-24,"8:30 PM",2007-09-24 20:30:00,"20070924_22_31"
2007,"reg","3","9/23 8:15 ET","Chicago",6,"CHI","Dallas",9,"DAL",-3,41.5,"Y","N",2007-09-23,"8:15 PM",2007-09-23 20:15:00,"20070923_6_9"
2007,"reg","3","9/23 4:15 ET","Washington",32,"WAS","NY Giants",23,"NYG",-3.5,42,"Y","N",2007-09-23,"4:15 PM",2007-09-23 16:15:00,"20070923_23_32"
2007,"reg","3","9/23 4:15 ET","Carolina",5,"CAR","Atlanta",2,"ATL",-4.5,38,"N","Y",2007-09-23,"4:15 PM",2007-09-23 16:15:00,"20070923_2_5"
2007,"reg","3","9/23 4:05 ET","Denver",10,"DEN","Jacksonville",15,"JAX",-3.5,36,"Y","N",2007-09-23,"4:05 PM",2007-09-23 16:05:00,"20070923_10_15"
2007,"reg","3","9/23 4:05 ET","Seattle",29,"SEA","Cincinnati",7,"CIN",-3,50,"Y","N",2007-09-23,"4:05 PM",2007-09-23 16:05:00,"20070923_7_29"
2007,"reg","3","9/23 4:05 ET","Oakland",25,"OAK","Cleveland",8,"CLE",-3,41.5,"Y","N",2007-09-23,"4:05 PM",2007-09-23 16:05:00,"20070923_8_25"
2007,"reg","3","9/23 1:00 ET","Baltimore",3,"BAL","Arizona",1,"ARI",-7,35.5,"Y","N",2007-09-23,"1:00 PM",2007-09-23 13:00:00,"20070923_1_3"
2007,"reg","3","9/23 1:00 ET","San Diego",17,"LAC","Green Bay",12,"GB",-6,42.5,"N","Y",2007-09-23,"1:00 PM",2007-09-23 13:00:00,"20070923_12_17"
2007,"reg","3","9/23 1:00 ET","Pittsburgh",27,"PIT","San Francisco",28,"SF",-10,37.5,"Y","N",2007-09-23,"1:00 PM",2007-09-23 13:00:00,"20070923_27_28"
2007,"reg","3","9/23 1:00 ET","Philadelphia",26,"PHI","Detroit",11,"DET",-4.5,44.5,"Y","N",2007-09-23,"1:00 PM",2007-09-23 13:00:00,"20070923_11_26"
2007,"reg","3","9/23 1:00 ET","New England",21,"NE","Buffalo",4,"BUF",-16.5,41,"Y","N",2007-09-23,"1:00 PM",2007-09-23 13:00:00,"20070923_4_21"
2007,"reg","3","9/23 1:00 ET","Tampa Bay",30,"TB","St. Louis",18,"LAR",-3.5,38.5,"Y","N",2007-09-23,"1:00 PM",2007-09-23 13:00:00,"20070923_18_30"
2007,"reg","3","9/23 1:00 ET","Indianapolis",14,"IND","Houston",13,"HOU",-6.5,46.5,"N","Y",2007-09-23,"1:00 PM",2007-09-23 13:00:00,"20070923_13_14"
